"Title","driv_type","ES"
"Restoration increases bee abundance and richness but not pollination in remnant and post-agricultural woodlands","Biotic","Pollination"
"Changes in ecological stability across realistic biodiversity gradients depend on spatial scale","Biotic","HabCreate"
"Urban biodiversity and social inequalities in built-up cities: New evidences, next questions. The example of Paris, France","Human","ClimReg"
"Urban biodiversity and social inequalities in built-up cities: New evidences, next questions. The example of Paris, France","Human","freshWQReg"
"Urban biodiversity and social inequalities in built-up cities: New evidences, next questions. The example of Paris, France","Human","MaintainOpts"
"Urban biodiversity and social inequalities in built-up cities: New evidences, next questions. The example of Paris, France","Human","CulturePsych"
"Recovery Debts Can Be Revealed by Ecosystem Network-Based Approaches","Environmental","Energy"
"Recovery Debts Can Be Revealed by Ecosystem Network-Based Approaches","Environmental","MaintainOpts"
"Recovery Debts Can Be Revealed by Ecosystem Network-Based Approaches","Biotic","Energy"
"Recovery Debts Can Be Revealed by Ecosystem Network-Based Approaches","Biotic","MaintainOpts"
"Impacts of grazing abandonment on ecosystem service provision: Coastal grassland as a model system","Human","Pollination"
"Impacts of grazing abandonment on ecosystem service provision: Coastal grassland as a model system","Human","ClimReg"
"Impacts of grazing abandonment on ecosystem service provision: Coastal grassland as a model system","Human","SoilProtect"
"Impacts of grazing abandonment on ecosystem service provision: Coastal grassland as a model system","Human","Hazards"
"Impacts of grazing abandonment on ecosystem service provision: Coastal grassland as a model system","Human","PestPath"
"Impacts of grazing abandonment on ecosystem service provision: Coastal grassland as a model system","Human","Energy"
"Impacts of grazing abandonment on ecosystem service provision: Coastal grassland as a model system","Human","Food"
"Impacts of grazing abandonment on ecosystem service provision: Coastal grassland as a model system","Human","MaintainOpts"
"Impacts of grazing abandonment on ecosystem service provision: Coastal grassland as a model system","Human","CulturePsych"
"Assessing and predicting the relative ecological impacts of disturbance on habitats with different sensitivities","Human","HabCreate"
"Assessing and predicting the relative ecological impacts of disturbance on habitats with different sensitivities","LU_LC","HabCreate"
"Community size, activity and C:N stoichiometry of soil microorganisms following reforestation in a Karst region","Human","SoilProtect"
"Challenging the land degradation in China's Loess Plateau: Benefits, limitations, sustainability, and adaptive strategies of soil and water conservation","Environmental","SoilProtect"
"Challenging the land degradation in China's Loess Plateau: Benefits, limitations, sustainability, and adaptive strategies of soil and water conservation","Human","coastWQReg"
"Challenging the land degradation in China's Loess Plateau: Benefits, limitations, sustainability, and adaptive strategies of soil and water conservation","Human","SoilProtect"
"Organic farming promotes biotic resistance to foodborne human pathogens","Human","PestPath"
"Organic farming promotes biotic resistance to foodborne human pathogens","Biotic","PestPath"
"Grassland to shrubland state transitions enhance carbon sequestration in the northern Chihuahuan Desert","Environmental","ClimReg"
"Grassland to shrubland state transitions enhance carbon sequestration in the northern Chihuahuan Desert","LU_LC","ClimReg"
"Pattern and scale in latitude-production relationships for freshwater fishes","Environmental","Food"
"Reconciling opposing soil processes in row-crop agroecosystems via soil functional zone management","LU_LC","SoilProtect"
"Reconciling opposing soil processes in row-crop agroecosystems via soil functional zone management","Human","SoilProtect"
"Relationships between renewable emergy storage or flow and biodiversity: A modeling investigation","Environmental","HabCreate"
"Relationships between renewable emergy storage or flow and biodiversity: A modeling investigation","LU_LC","HabCreate"
"Relationships between renewable emergy storage or flow and biodiversity: A modeling investigation","Human","HabCreate"
"Does Tree Species Composition Affect Productivity in a Tropical Planted Forest?","Biotic","ClimReg"
"Does Tree Species Composition Affect Productivity in a Tropical Planted Forest?","Biotic","Materials"
"A modified trait-based framework for assessing the resilience of ecosystem services provided by coral reef communities","Environmental","HabCreate"
"A modified trait-based framework for assessing the resilience of ecosystem services provided by coral reef communities","Environmental","Hazards"
"A modified trait-based framework for assessing the resilience of ecosystem services provided by coral reef communities","Environmental","CulturePsych"
"A modified trait-based framework for assessing the resilience of ecosystem services provided by coral reef communities","Biotic","HabCreate"
"A modified trait-based framework for assessing the resilience of ecosystem services provided by coral reef communities","Biotic","Hazards"
"Ecosystem services of collectively managed urban gardens: Exploring factors affecting synergies and trade-offs at the site level","Human","AQReg"
"Ecosystem services of collectively managed urban gardens: Exploring factors affecting synergies and trade-offs at the site level","Human","Food"
"Ecosystem services of collectively managed urban gardens: Exploring factors affecting synergies and trade-offs at the site level","Human","MaintainOpts"
"Ecosystem services of collectively managed urban gardens: Exploring factors affecting synergies and trade-offs at the site level","Human","CulturePsych"
"Urban form, biodiversity potential and ecosystem services","Human","HabCreate"
"Urban form, biodiversity potential and ecosystem services","Human","ClimReg"
"Urban form, biodiversity potential and ecosystem services","Human","freshWQReg"
"Influence of land use on water quality in a tropical landscape: a multi-scale analysis","LU_LC","coastWQReg"
"Seeds in farmland food-webs: Resource importance, distribution and the impacts of farm management","Human","Pollination"
"Seeds in farmland food-webs: Resource importance, distribution and the impacts of farm management","Human","PestPath"
"Seeds in farmland food-webs: Resource importance, distribution and the impacts of farm management","Biotic","PestPath"
