EcoServ,Response,V1,EF,ES,no selection,Proxy for ES
SoilProtect,pH,1,1,0,0,0
ClimReg,phosphatase activity,1,1,0,0,0
coastWQReg,phosphate concentration,1,0,1,0,0
coastWQReg,Phosphorous,1,0,0,0,1
SoilProtect,phosphorous storage in SOM,1,0,1,0,0
coastWQReg,phosphorus conc.,1,0,0,0,1
coastWQReg,Phosphorus concentration,1,1,0,0,0
AQReg,photosynthesis (gas exchange,1,0,0,0,1
Hazards,physical water quantity regulation,1,0,1,0,0
Food,pigs,1,0,1,0,0
coastWQReg,Plankton and macroinvertebrate community structure,1,1,0,0,0
CulturePsych,Plant biodiversity,1,0,0,0,1
Energy,plant biomass,1,1,0,0,0
HabCreate,plant community composition,1,1,0,0,0
MaintainOpts,Plant community composition,1,1,0,0,0
SoilProtect,plant density,1,0,0,0,1
CulturePsych,plant diversity,1,0,0,0,1
MaintainOpts,plant diversity,1,0,1,0,0
HabCreate,Plant diversity,1,0,0,0,1
MaintainOpts,Plant diversity maintenance,1,0,1,0,0
ClimReg,plant productivity,1,1,0,0,0
HabCreate,plant productivity,1,0,1,0,0
Materials,Plant quality,1,1,0,0,0
HabCreate,Plant species composition,1,0,1,0,0
MaintainOpts,Plant species richness,1,0,0,0,1
SoilProtect,plant-available N,1,1,0,0,0
Pollination,pollen deposition (grains),1,0,1,0,0
Pollination,pollination,4,0,4,0,0
Pollination,Pollination,2,0,2,0,0
Pollination,Pollination potential,2,0,2,0,0
Pollination,pollinator abbundance,1,0,0,0,1
Pollination,pollinator abundance,1,0,0,0,1
Pollination,Pollinator abundance,1,0,0,0,1
Pollination,pollinator density,1,0,0,0,1
Pollination,pollinator diversity,1,0,0,0,1
Pollination,Pollinator diversity,1,0,1,0,0
Pollination,pollinator diversity index,1,0,0,0,1
PestPath,pollinator ESP abundance,1,0,0,0,1
Pollination,pollinator ESP abundance,1,0,0,0,1
Pollination,pollinator evenness,1,0,0,0,1
HabCreate,Pollinator habitat use,1,0,1,0,0
Pollination,pollinator richness,2,0,0,0,2
Pollination,Pollinator richness,1,0,0,0,1
Pollination,pollinator species composition,1,0,0,0,1
Pollination,pollinator species richness,1,0,0,0,1
Pollination,pollinator taxonomic breadth,1,0,0,0,1
Pollination,Pollinator visitation (identity of pollinator,1,0,1,0,0
CulturePsych,population carrier,1,0,1,0,0
Food,population density,1,0,0,0,1
HabCreate,population stability,1,0,1,0,0
SoilProtect,pore water metal content,1,0,0,0,1
Food,Port and Cattle,1,0,1,0,0
ClimReg,Potential carbon sequestration,1,0,1,0,0
SoilProtect,Potential erosion potential,1,0,1,0,0
HabCreate,Potential habitat function,1,0,1,0,0
HabCreate,Potential patch dispersal events,1,1,0,0,0
CulturePsych,potential tourism (12 types),1,0,0,0,1
SoilProtect,pre-rill erosion %,1,0,1,0,0
PestPath,predation index,1,0,1,0,0
Pollination,Predation of pests by entomopathogenic fungi,1,0,1,0,0
PestPath,predation rate,1,0,1,0,0
PestPath,predator abundance,1,0,1,0,0
PestPath,predator diet,1,0,0,0,1
PestPath,predator movement from non-crop to crop vegetation,1,0,0,0,1
PestPath,Predator population,0,1,1,0,0
coastWQReg,presence and abundance of fish,1,0,0,0,1
coastWQReg,presence and abundance of submerged macrophytes,1,0,0,0,1
coastWQReg,presence and abundance of terrestrial consumers,1,0,0,0,1
CulturePsych,presence of Argali sheep,1,0,0,0,1
CulturePsych,Presence of land cover types preferred by people via survey,1,0,1,0,0
PestPath,presence of male mosquitoes,1,0,1,0,0
CulturePsych,presence of showy flowers,1,0,1,0,0
coastWQReg,presence of submerged aquatic vegetation-dependent fish and waterfowl,1,0,0,0,1
CulturePsych,presence of the environment,1,0,1,0,0
PestPath,prey diversity for otters,1,0,0,0,1
CulturePsych,probability of stocking,1,0,0,0,1
HabCreate,production sensitivity,1,1,0,0,0
SoilProtect,proportion of buried cotton fabric decomposed,1,0,1,0,0
SoilProtect,proportion of buried leaf litter decomposed,1,0,1,0,0
PestPath,proportion of leaves damaged by insects,1,0,1,0,0
Food,Proportion of non-declining exploited species of fish,1,0,0,0,1
PestPath,proportion of predated Colorado potato beetle eggs,1,0,1,0,0
Food,proportion of site area cultivated for food,1,0,0,0,1
MaintainOpts,protected plant species,1,0,1,0,0
MaintainOpts,protected vertebrate species,1,0,1,0,0
SoilProtect,protection against rockfalls,1,0,1,0,0
CulturePsych,quality of cultural ecosystem services,1,0,0,0,1
Food,Quality of food,1,0,1,0,0
Food,quality of provisioning services,1,0,0,0,1
coastWQReg,quality of regulating services,1,0,0,0,1
Food,quantity of food,1,0,1,0,0
PestPath,ranchers' assessment of effectiveness of invasive species control,1,0,0,1,0
CulturePsych,range farm,1,0,0,1,0
Food,range farm,1,0,0,1,0
freshWQReg,Rates of water infiltration into soil,1,0,0,0,1
freshWQReg,rates of water uptake,1,0,0,0,1
PestPath,ratio of aphid growth with and without predators,1,0,1,0,0
Materials,Raw material,0,1,1,0,0
MaintainOpts,recovery debt,1,0,1,0,0
CulturePsych,Recreation,1,0,1,0,0
CulturePsych,recreation (public access,1,0,1,0,0
CulturePsych,recreation and community activities,1,0,1,0,0
CulturePsych,Recreation and culture,0,1,1,0,0
CulturePsych,recreation and ecotourism,1,0,1,0,0
CulturePsych,recreation and tourism,1,0,1,0,0
CulturePsych,recreation capacity,1,0,0,0,1
CulturePsych,recreation potential,1,0,1,0,0
CulturePsych,recreation value,2,0,2,0,0
CulturePsych,recreational demand,1,0,0,0,1
CulturePsych,recreational potential,1,0,0,0,1
CulturePsych,recreational value,1,0,1,0,0
CulturePsych,red grouse breeding success,1,0,0,0,1
PestPath,reduction of coffee berry borer (CBB) presence,1,0,1,0,0
HabCreate,regeneration potential,1,0,1,0,0
CulturePsych,relative basal area increment,1,0,1,0,0
AQReg,Relaxation,1,0,1,0,0
freshWQReg,reservoir volume,1,0,1,0,0
PestPath,residential propagule pressure,1,1,0,0,0
CulturePsych,resiliance,1,0,0,0,1
Food,resiliance,1,0,0,0,1
HabCreate,resiliance,1,0,0,0,1
SoilProtect,resiliance,0,0,1,0,1
MaintainOpts,resilience,1,0,0,1,0
HabCreate,restoration potential,1,0,1,0,0
HabCreate,restored significance,1,0,0,1,0
Pollination,richness,1,0,1,0,0
MaintainOpts,Richness,1,1,0,0,0
SoilProtect,rill erosion %,1,0,1,0,0
HabCreate,Riparian canopy density,1,0,0,1,0
HabCreate,Riparian canopy width,1,0,0,1,0
coastWQReg,riparian wetland,1,0,0,1,0
CulturePsych,riparian wetland,1,0,0,1,0
SoilProtect,riparian wetland,1,0,0,1,0
Food,Risk-adjusted performance of chinook and sockey salmon fisheries,1,0,1,0,0
ClimReg,root biomass,1,1,1,0,1
SoilProtect,root biomass,1,1,0,0,0
Materials,root length,1,0,1,0,0
SoilProtect,Root Mass,1,0,1,0,0
HabCreate,rugosity of reefs,1,0,0,0,1
coastWQReg,Running water quality,1,0,1,0,0
coastWQReg,Runoff coefficient,1,0,1,0,0
freshWQReg,runoff coefficient (runoff/rainfall),1,0,0,0,1
Hazards,runoff mitigation,1,0,1,0,0
AQReg,S depositon,1,0,0,0,1
coastWQReg,salinity,1,0,1,0,0
Food,salmon angling,1,0,1,0,0
Food,salmon total run,1,0,1,0,0
SoilProtect,Sand fixation,1,0,0,1,0
Materials,sand/gravel companies and production,1,0,0,0,1
Hazards,sandstorm prevention,1,0,1,0,0
freshWQReg,sap flow,1,0,0,0,1
CulturePsych,sea turtle and shark biomass,1,0,1,0,0
Food,seafood yields,1,0,0,0,1
ClimReg,secondary forest fire tolerance,1,1,0,0,0
SoilProtect,sediment retention,3,0,3,0,0
freshWQReg,Sediment retention,1,0,1,0,0
coastWQReg,sediment yield,1,0,1,0,0
coastWQReg,Sediment yield,1,0,1,0,0
SoilProtect,sedimentation,1,0,1,0,0
Pollination,seed abundance,1,0,0,0,1
HabCreate,seed deposition,2,1,1,0,0
Pollination,seed dispersal,2,0,2,0,0
Pollination,Seed dispersal,1,0,1,0,0
Pollination,seed dispersal distance,1,1,0,0,0
Pollination,seed dispersal distribution,1,0,0,0,1
Pollination,seed dispersal shadow size,1,0,1,0,0
PestPath,seed feeding insects,1,0,0,0,1
Food,Seed mass,1,0,0,0,1
HabCreate,Seed persistence,1,1,0,0,0
Pollination,seed removal,1,1,0,0,0
Food,Seed set,1,1,0,0,0
Pollination,Seed set,2,1,1,0,0
Food,Seed set per plant,1,0,0,0,1
HabCreate,seedbank abundance,1,1,0,0,0
ClimReg,Semi-natural space type,1,0,0,0,1
CulturePsych,Semi-natural space type,1,0,0,0,1
freshWQReg,Semi-natural space type,1,0,0,0,1
Hazards,shannon diversity,1,0,0,0,1
MaintainOpts,Shannon diversity,1,1,0,0,0
HabCreate,Shanon-weiner floristic diversity,1,0,0,0,1
HabCreate,shape,1,0,1,0,0
Food,sheep,1,0,1,0,0
HabCreate,Shelter for fauna,1,0,1,0,0
ClimReg,shoot biomass,1,0,0,0,1
MaintainOpts,Simpsons diversity,1,1,0,0,0
CulturePsych,site size(well-being),1,0,0,1,0
HabCreate,size,1,0,1,0,0
Materials,size,1,0,1,0,0
CulturePsych,size at maturity,1,0,1,0,0
SoilProtect,social organic matter,1,1,0,0,0
CulturePsych,social setting,1,0,1,0,0
Food,Social vulnerability,1,0,0,0,1
Food,Socio-ecological vulnerability,1,0,0,0,1
coastWQReg,sodium and chloride contents,1,1,0,0,0
Food,soil,1,0,1,0,0
SoilProtect,Soil & site stability score (rangeland health assessment),1,0,0,0,1
ClimReg,soil area x carbon density,1,0,1,0,0
SoilProtect,soil building,1,0,1,0,0
SoilProtect,soil bulk density,1,2,0,0,1
SoilProtect,soil C,1,1,0,0,0
SoilProtect,soil C:N,1,1,0,0,0
ClimReg,soil carbon,4,0,5,0,3
SoilProtect,soil carbon,1,0,2,0,1
ClimReg,soil carbon pool,0,0,1,0,1
ClimReg,Soil carbon stocks,1,0,1,0,0
ClimReg,soil carbon storage,1,1,0,0,0
coastWQReg,Soil chemical quality index,1,0,0,0,1
SoilProtect,Soil community composition,1,0,1,0,0
SoilProtect,soil conductivity,1,1,0,0,0
SoilProtect,soil conservation,2,0,2,0,0
SoilProtect,Soil conservation,0,1,1,0,0
SoilProtect,soil conservation function,1,0,1,0,0
SoilProtect,soil conservation percentage,1,0,1,0,0
SoilProtect,Soil coverage,1,0,0,0,1
SoilProtect,Soil density,1,0,0,0,1
SoilProtect,soil enzyme levels,2,1,1,0,0
SoilProtect,soil erosion,1,1,1,0,1
SoilProtect,Soil erosion,1,0,0,0,1
SoilProtect,soil erosion by wind,1,0,1,0,0
SoilProtect,soil erosion rate,1,0,1,0,0
SoilProtect,soil fertility,1,0,1,0,0
SoilProtect,Soil food web,1,0,1,0,0
SoilProtect,Soil formation and retention,0,1,1,0,0
SoilProtect,soil loss potential,1,0,0,0,1
SoilProtect,soil microbial biomass,1,1,0,0,0
SoilProtect,soil microbial biomass carbon,0,1,0,0,1
SoilProtect,soil microbial composition,0,0,1,0,1
SoilProtect,soil microbial extracellular enzyme activity,0,0,1,0,1
SoilProtect,soil microbial metabolics,0,0,1,0,1
SoilProtect,soil moisture,1,0,0,0,1
SoilProtect,soil multifunctionality index,1,1,0,0,0
SoilProtect,soil N,1,1,1,0,1
ClimReg,soil nitrogen,0,0,1,0,1
SoilProtect,soil nitrogen stock,1,0,1,0,0
ClimReg,soil organic carbon,1,2,1,0,0
SoilProtect,soil organic carbon,1,1,0,0,0
SoilProtect,Soil organic carbon,0,1,1,0,0
ClimReg,soil organic matter,2,0,1,0,1
SoilProtect,soil organic matter,1,2,1,0,2
SoilProtect,soil ph,1,1,0,0,0
SoilProtect,soil pH,1,1,1,0,3
SoilProtect,soil phosphorous,0,0,1,0,1
coastWQReg,Soil phosphorus saturation,1,0,1,0,0
SoilProtect,Soil Protection,1,0,1,0,0
SoilProtect,Soil quality,1,0,1,0,0
ClimReg,soil respiration,1,1,0,0,0
SoilProtect,soil respiration rate,2,1,1,0,0
SoilProtect,soil retention,2,0,1,0,1
SoilProtect,Soil retention,2,1,2,1,0
SoilProtect,soil stability indicator rate,1,0,1,0,0
CulturePsych,soil temprature,1,0,0,0,1
SoilProtect,soil water content,0,0,1,0,1
SoilProtect,soil water holding capacity,1,1,0,0,0
freshWQReg,soil water infiltration,1,0,0,0,1
SoilProtect,Soil water repellency,1,0,0,0,1
freshWQReg,Soil water retention,1,0,0,0,1
SoilProtect,soil water stable aggregates,0,1,0,0,1
CulturePsych,sounds and scents,1,0,1,0,0
Food,Soya bean yield,1,0,1,0,0
Food,spawner abundance,1,0,1,0,0
HabCreate,species diversity,1,0,0,0,1
Pollination,species diversity,1,0,0,0,1
Pollination,species evenness,1,0,0,0,1
HabCreate,species richness,1,1,0,0,0
Hazards,species richness,1,0,0,0,1
Pollination,species richness,1,0,0,0,1
SoilProtect,species richness,1,0,0,0,1
MaintainOpts,Species richness,1,1,0,0,0
MaintainOpts,speciesin danger category,1,0,0,0,1
PestPath,Spider and predatory beetle abundance,1,0,0,0,1
CulturePsych,spiritual,1,0,1,0,0
Pollination,spring and summer,1,0,1,0,0
Food,stability of fisheries yields,1,0,1,0,0
PestPath,stable isotope analysis,1,0,0,0,1
ClimReg,standing biomass,1,0,1,0,0
coastWQReg,Standing water quality,1,0,1,0,0
ClimReg,stem relative growth rate,1,0,1,0,0
freshWQReg,stemflow and  throughfall,1,0,0,0,1
CulturePsych,stocked walleye length,1,0,0,0,1
freshWQReg,stormwater quantity and quality,1,0,0,0,1
Hazards,stormwater retention,1,0,0,0,1
freshWQReg,streamflow,1,0,0,0,1
freshWQReg,streamwater flow,1,0,0,0,1
HabCreate,Structural benthic habitat,1,0,1,0,0
coastWQReg,submerged aquatic vegetation coverage,1,0,0,0,1
CulturePsych,summer cottages,1,0,1,0,0
Pollination,sunflower yield,1,0,1,0,0
SoilProtect,surface erosion %,1,0,1,0,0
HabCreate,surface ice,1,1,0,0,0
freshWQReg,surface run-off,1,0,1,0,0
SoilProtect,surface runoff,1,0,1,0,0
HabCreate,suspended ice,1,1,0,0,0
Energy,Suvivorship,1,1,0,0,0
Food,sward height,1,0,0,0,1
PestPath,syrphid fly (natural enemy) density,0,0,1,0,1
MaintainOpts,terrestrial biodiversity,1,0,0,0,1
Pollination,terrestrial biodiversity,1,0,0,0,1
Food,Terrestrial plants and animals,1,0,1,0,0
ClimReg,thermal regulation (roofs),1,0,0,0,1
Food,tiller mass,1,0,0,0,1
Food,tiller number,1,1,0,0,0
Food,timber,1,0,1,0,0
Materials,timber production,1,0,1,0,0
Materials,Timber value,1,0,1,0,0
ClimReg,timber volume,1,0,1,0,0
Materials,timber volume,1,0,1,0,0
ClimReg,total aboveground carbon,1,0,1,0,0
Food,Total agricultural revenues,1,0,0,0,1
ClimReg,total biomass,0,1,1,0,0
SoilProtect,total C,1,0,0,0,1
coastWQReg,total carbon content,1,1,0,0,0
ClimReg,total carbon pool,0,1,1,0,0
ClimReg,total carbon stock,2,0,2,0,0
ClimReg,total carbon stocks,0,0,1,0,1
ClimReg,total carbon storage,1,0,1,0,0
Energy,total energy production,1,0,1,0,0
SoilProtect,total exchangeable cations,1,0,0,0,1
CulturePsych,total fish biomass,1,0,1,0,0
Food,total fish biomass,1,0,0,0,1
Hazards,total hours tidal submergence,1,0,0,1,0
Energy,total hydropower production,1,0,1,0,0
coastWQReg,total N,1,0,0,0,1
SoilProtect,total N,2,0,0,0,2
coastWQReg,total N removal potential,1,0,1,0,0
coastWQReg,Total nitrogen,1,0,0,0,1
coastWQReg,total nitrogen content,1,1,0,0,0
SoilProtect,total organic carbon,1,1,0,0,0
SoilProtect,total P,1,0,0,0,1
coastWQReg,total P removal potential,1,0,1,0,0
AQReg,total pollutants removal,1,0,1,0,0
ClimReg,total soil C,1,0,1,0,0
ClimReg,total soil nitrogen,1,1,0,0,0
coastWQReg,Total tree leaf area,1,0,0,0,1
Food,total value of catch,1,0,1,0,0
HabCreate,Total variation in functional matrix,1,1,0,0,0
CulturePsych,tourism,1,0,1,0,0
CulturePsych,tourist visits,1,0,1,0,0
ClimReg,tree above ground carbon,1,0,1,0,0
ClimReg,tree biomass,0,0,1,0,1
HabCreate,Tree composition,1,0,0,0,1
ClimReg,Tree DBH,1,0,0,0,1
ClimReg,tree density,0,1,1,0,0
AQReg,tree growth and survival,1,0,0,0,1
ClimReg,tree growth and survival,1,0,0,0,1
coastWQReg,tree growth and survival,1,0,0,0,1
ClimReg,tree height,0,1,1,0,0
freshWQReg,Tree leaf area,1,0,0,0,1
ClimReg,Tree leaf biomass,1,0,0,0,1
MaintainOpts,Tree species richness,1,1,0,0,0
HabCreate,trophic level of fish community,1,0,1,0,0
coastWQReg,turbidity and dissolved oxygen,1,0,0,0,1
freshWQReg,upstream,1,0,0,1,0
CulturePsych,upstream downstream,1,0,0,1,0
CulturePsych,Urban green space,1,0,1,0,0
ClimReg,urease activity,1,1,0,0,0
PestPath,vector mosquito sex ratio,1,0,0,0,1
PestPath,vector mosquitoe abundance,1,0,0,0,1
ClimReg,vegetation carbon sequestration (net primary productivity,1,0,0,0,1
ClimReg,Vegetation carbon stocks,1,0,1,0,0
ClimReg,vegetation cover,1,0,0,0,1
Energy,vegetation cover,1,0,0,0,1
HabCreate,vegetation cover,1,0,0,1,0
HabCreate,vegetation diversity/richness,1,1,0,0,0
ClimReg,vegetation height,1,1,0,0,0
HabCreate,vegetation height,1,1,0,0,0
MaintainOpts,vegetation homogenization,1,1,0,0,0
Materials,Vegetative production,1,0,1,0,0
MaintainOpts,vertebrate diversity,1,0,1,0,0
HabCreate,Vertical diversity,1,0,0,0,1
CulturePsych,viewscapes,1,0,1,0,0
Pollination,Visitation rate,1,0,0,0,1
CulturePsych,visitors to national reserves/parks,1,0,0,0,1
CulturePsych,visits to national reserves/parks,1,0,0,0,1
coastWQReg,volumes of wastewater generated and treated,1,0,1,0,0
CulturePsych,volunteer input and community events,1,0,0,0,1
CulturePsych,volunteer input(education),1,0,0,1,0
SoilProtect,waste treatment,0,1,1,0,0
Food,water,1,0,1,0,0
coastWQReg,water clarity,2,0,1,0,1
freshWQReg,water conservation,1,0,1,0,0
freshWQReg,water depth,1,0,0,1,0
freshWQReg,water discharge,1,0,0,1,0
freshWQReg,water flow,1,0,1,0,0
freshWQReg,water flow regulation,2,0,2,0,0
freshWQReg,water for agricultural use,1,0,1,0,0
freshWQReg,water for consumption,1,0,0,0,1
freshWQReg,Water for human consumption,1,0,1,0,0
freshWQReg,water for industrial and energy use,1,0,1,0,0
Hazards,Water infiltration rate,1,0,0,0,1
freshWQReg,water provisioning,1,0,1,0,0
coastWQReg,Water Purification and Provision,1,0,1,0,0
coastWQReg,water quality,2,0,2,0,0
freshWQReg,water quality,1,0,1,0,0
coastWQReg,water quality for various uses,1,0,0,0,1
coastWQReg,water quality index,1,0,1,0,0
freshWQReg,water quality regulation,1,0,1,0,0
coastWQReg,Water quality regulation,1,0,1,0,0
freshWQReg,Water quantity,1,0,1,0,0
freshWQReg,water regulation,1,0,1,0,0
freshWQReg,water retention,2,0,2,0,0
freshWQReg,water supply,2,0,2,0,0
freshWQReg,Water supply,0,1,1,0,0
freshWQReg,water supply for human consumption,1,0,1,0,0
freshWQReg,water supply for industry,1,0,1,0,0
freshWQReg,water yield,3,0,2,0,1
coastWQReg,Water yield,1,0,0,1,0
freshWQReg,Water yield,1,0,1,0,0
SoilProtect,Water yield,0,1,1,0,0
freshWQReg,wateryield production,1,0,1,0,0
Food,weed community structure,1,0,0,0,1
SoilProtect,weed seed predation,1,0,1,0,0
PestPath,weed seed removal,1,0,1,0,0
PestPath,weed suppression,1,0,1,0,0
PestPath,west nile virus incidence in humans,1,0,1,0,0
Food,Wetland area,0,0,1,0,1
Food,wetland area (fisheries proxy),1,0,0,0,1
HabCreate,wetted width,1,1,0,0,0
Food,wheat,1,0,1,0,0
Food,wheat biomass,1,0,1,0,0
Food,wild rice,1,0,1,0,0
CulturePsych,wild rice harvest,1,0,1,0,0
HabCreate,wildflower strips,1,0,0,1,0
HabCreate,wind erosion,1,0,0,1,0
Hazards,windbreak function,1,0,1,0,0
Food,winter wheat yield,1,0,1,0,0
Materials,wood production,2,0,2,0,0
Materials,wood raw materials,1,0,1,0,0
Energy,Woody biomass,1,0,1,0,0
Food,yield,1,0,1,0,0
Pollination,yield,1,0,1,0,0
Energy,Yield,0,1,1,0,0
Food,Yield,3,0,3,0,0
