EcoServ,Response,V1,EF,ES,no selection,Proxy for ES
OceanReg,carbon sequestation,1,0,1,0,0
ClimReg,carbon sequestration,5,0,2,1,2
ClimReg,Carbon sequestration,2,1,0,1,0
ClimReg,carbon sequestration in soils and biomass,1,0,1,0,0
ClimReg,carbon stock,2,0,2,0,0
ClimReg,Carbon stock,2,1,0,0,1
ClimReg,Carbon stocks,1,0,1,0,0
ClimReg,carbon storage,8,0,9,0,1
SoilProtect,carbon storage,1,0,1,0,0
ClimReg,Carbon storage,6,0,6,0,0
OceanReg,carbonate production,2,0,2,0,0
PestPath,carrion consumption rate,1,0,1,0,0
CulturePsych,cars or bicycles parked in front yard),1,0,0,0,1
Food,cattle,1,0,1,0,0
PestPath,CBB bean damage,1,0,1,0,0
PestPath,CBB infestation,1,0,1,0,0
PestPath,cereal leaf beetle density,0,0,1,0,1
PestPath,cereal leaf beetle eggs,0,0,1,0,1
PestPath,cereal leaf beetle larvae,0,0,1,0,1
MaintainOpts,change in forest area,1,0,0,0,1
HabCreate,channel bed distribution,1,1,0,0,0
Materials,charcoal production,1,0,0,1,0
coastWQReg,chemical water quality regulation,1,0,1,0,0
coastWQReg,chlorophyll a,1,0,0,0,1
coastWQReg,clearance rate,1,0,1,0,0
ClimReg,Climate regulation,0,1,1,0,0
Food,cloud berry picking,1,0,1,0,0
ClimReg,CO2 efflux,0,0,1,0,1
ClimReg,CO2 emissions,1,0,1,0,0
ClimReg,CO2 flux,1,0,1,0,0
ClimReg,coarse veg area x avg.  sequestration rate,1,0,1,0,0
ClimReg,coarse veg area x avg.  storage rate,1,0,1,0,0
AQReg,coarse veg area x pollution removal rate,1,0,1,0,0
Food,coffee dry fruit weight,1,0,1,0,0
Food,coffee fruit set,1,0,1,0,0
Food,coffee fruit size,1,0,1,0,0
Pollination,colony foraging radius,1,0,0,0,1
HabCreate,Colony maximum diameter,1,0,0,0,1
Food,commercially harvested fungi richness,0,0,1,0,1
MedGen,commercially harvested fungi richness,1,0,1,0,0
Food,community garden,1,0,1,0,0
coastWQReg,community respiration,1,1,0,0,0
Food,community structure,1,0,0,0,1
PestPath,Community Structure,1,0,0,0,1
Pollination,Community Structure,1,0,0,0,1
Pollination,Community structure of flower longicorn beetles,1,0,0,0,1
SoilProtect,composition,1,0,0,0,1
MaintainOpts,conifer seedling abundance,1,0,0,1,0
HabCreate,connectivity,1,0,1,0,0
HabCreate,connectivity between grasslands,1,0,0,0,1
HabCreate,cooling by vegetation,1,0,1,0,0
HabCreate,coral cover,1,0,1,0,0
CulturePsych,coral functional traits,1,0,0,0,1
HabCreate,coral functional traits (Age and size at maturity,1,0,0,0,1
Hazards,coral functional traits (Colony maximum diameter,1,0,0,0,1
HabCreate,coral growth,1,1,0,0,0
coastWQReg,coral rugosity,1,0,0,0,1
