EcoServ,Response,EF,ES,no selection,Proxy for ES,Key.word,Notes,response_finer,rf2
CulturePsych,Fish density (young-of-year per ha),0,0,0,1,Service provider abundance,,service provider abundance,service provider abundance
HabCreate,fish functional group,0,0,0,1,Service provider function/functional traits,,service provider functional biodiversity and traits,service provider functional biodiversity and traits
CulturePsych,fish functional group biodiversity,0,1,0,0,"Service provider diversity/richness/composition, Service provider function/functional traits",,"service provider functional biodiversity and traits, service provider functional biodiversity and traits",service provider species biodiversity
HabCreate,fish habitat,0,1,0,0,Habitat,,habitat,habitat
Food,fish harvesting,0,1,0,0,Exploitation/harvest,,exploitation/harvest,exploitation/harvest
Food,fish landings,0,0,1,0,Exploitation/harvest,,exploitation/harvest,exploitation/harvest
CulturePsych,fish productivity,0,0,0,1,Productivity,,productivity,productivity
coastWQReg,fish size,0,0,0,1,Productivity,,productivity,productivity
Food,fish stock,0,0,0,1,,no idea,,TEST_VALUE
MaintainOpts,fish traits,1,0,0,0,Service provider function/functional traits,,service provider functional biodiversity and traits,service provider functional biodiversity and traits
Food,Fish Type,0,0,0,1,,no idea,,TEST_VALUE
Food,fish yield,0,1,0,1,Exploitation/harvest,,exploitation/harvest,exploitation/harvest
Food,fisheries yield,0,1,0,0,Exploitation/harvest,,exploitation/harvest,exploitation/harvest
HabCreate,fleshy algal cover,0,1,0,0,Vegetation cover,,vegetation cover,vegetation cover
Hazards,flood buffering,0,1,0,0,Extreme events,maybe,extreme events,extreme events
freshWQReg,Flood control,0,1,0,0,Extreme events,maybe,extreme events,extreme events
Hazards,flood mitigation,0,1,0,0,Extreme events,maybe,extreme events,extreme events
Hazards,Flood regulation,0,1,0,0,Extreme events,maybe,extreme events,extreme events
Food,flor,0,1,0,0,,no idea,,TEST_VALUE
CulturePsych,flora and fauna,0,1,0,0,Recreation/tourism,maybe,recreation/tourism,recreation/tourism
HabCreate,Floral cover,1,0,0,0,Vegetation cover,,vegetation cover,vegetation cover
Pollination,flower visits,0,0,0,1,Pollination,,pollination,pollination
Pollination,Flower visits,0,1,0,0,Pollination,,pollination,pollination
AQReg,fluorescence),0,0,0,1,,is this one unconnected from the rest,,TEST_VALUE
Food,Food,1,1,0,0,Exploitation/harvest,,exploitation/harvest,exploitation/harvest
Food,food cultivation area,0,0,1,0,Exploitation/harvest,,exploitation/harvest,exploitation/harvest
Food,food production,0,1,0,0,Exploitation/harvest,,exploitation/harvest,exploitation/harvest
Food,food supply,0,1,0,0,Exploitation/harvest,,exploitation/harvest,exploitation/harvest
Food,forage production,0,1,0,0,Exploitation/harvest,,exploitation/harvest,exploitation/harvest
coastWQReg,forest,0,0,1,0,Vegetation cover,,vegetation cover,vegetation cover
CulturePsych,forest,0,0,1,0,Vegetation cover,,vegetation cover,vegetation cover
freshWQReg,forest,0,0,1,0,Vegetation cover,,vegetation cover,vegetation cover
SoilProtect,forest,0,0,1,0,Vegetation cover,,vegetation cover,vegetation cover
ClimReg,forest floor carbon pool,0,1,0,1,Carbon,,carbon,carbon
Materials,forest products,0,1,0,0,,needs new bin?,,exploitation/harvest
coastWQReg,forest recovery,0,0,0,1,,no idea,,TEST_VALUE
HabCreate,forest understory plant survivorship,1,0,0,0,Vegetation cover,,vegetation cover,vegetation cover
Materials,forest yield,0,1,0,0,Productivity,maybe with new bin for forest products,productivity,exploitation/harvest
SoilProtect,frequency of burrows,1,0,0,0,Service provider abundance ,indirectly?,service provider abundance,service provider abundance
coastWQReg,freshwater,0,1,0,0,hydrology,too vague,hydrology,hydrology
ClimReg,Freshwater metabolism,0,0,0,1,,needs new bin?,,TEST_VALUE
coastWQReg,Freshwater metabolism,0,0,0,1,,,,TEST_VALUE
Food,freshwater plants and animals,0,1,0,0,Exploitation/harvest,,exploitation/harvest,exploitation/harvest
Food,fruit quality,0,0,0,1,Exploitation/harvest,,exploitation/harvest,exploitation/harvest
Pollination,fruit set,0,1,0,0,Pollination,,pollination,pollination
Food,Fruit set,1,0,0,0,Exploitation/harvest,,exploitation/harvest,exploitation/harvest
Pollination,Fruit set,1,0,0,0,Pollination,,pollination,pollination
Food,fruit weight,0,0,0,1,Exploitation/harvest,,exploitation/harvest,exploitation/harvest
Pollination,functional dispersion,0,0,0,1,,no idea,,service provider functional biodiversity and traits
PestPath,Functional Diveristy,0,0,0,1,Pathogens/natural enemies,,pathogens/natural enemies,service provider functional biodiversity and traits
Pollination,Functional Diveristy,0,0,0,1,Pollination,,pollination,service provider functional biodiversity and traits
SoilProtect,functional diversity,1,0,0,0,"Service provider function/functional traits, Service provider diversity/abundance/composition",,"service provider functional biodiversity and traits, service provider diversity/abundance/composition",service provider functional biodiversity and traits
Pollination,functional evenness,0,0,0,1,"Service provider function/functional traits, Service provider diversity/abundance/composition",,"service provider functional biodiversity and traits, service provider diversity/abundance/composition",service provider functional biodiversity and traits
SoilProtect,fungal abundance,1,0,0,0,Service provider abundance,,service provider abundance,service provider abundance
Food,fungi,0,1,0,0,Exploitation/harvest,,exploitation/harvest,exploitation/harvest
HabCreate,game fish habitat suitability index,0,0,0,1,Habitat,,habitat,index
CulturePsych,Garden-design,0,0,0,1,"Characteristics of the plot, Exploitation/harvest",,"characteristics of the plot, exploitation/harvest","characteristics of the plot, exploitation/harvest"
AQReg,Gas regulation,1,1,0,0,Pollution/water quality/air quality,,pollution/water quality/air quality,pollution/water quality/air quality
Food,genera richness,0,0,1,0,"Service provider diversity/richness/composition, Exploitation/harvest",,"service provider species biodiversity, exploitation/harvest",service provider species biodiversity
CulturePsych,generation of scientific knowledge,0,0,0,1,Human knowledge,,human knowledge,human knowledge
ClimReg,GPP,0,0,1,0,Productivity,,productivity,productivity
Food,grain production,0,0,1,0,Exploitation/harvest,,exploitation/harvest,exploitation/harvest
Food,Grain production,0,1,0,0,Exploitation/harvest,,exploitation/harvest,exploitation/harvest
Food,grain weight (tonnes per hectare per plot),0,0,0,1,Exploitation/harvest,,exploitation/harvest,exploitation/harvest
Food,grain yield,0,0,1,0,,,,exploitation/harvest
CulturePsych,grass for hay,0,0,0,1,Exploitation/harvest,,exploitation/harvest,exploitation/harvest
Food,grass nutritional value,0,0,0,1,Exploitation/harvest,,exploitation/harvest,exploitation/harvest
CulturePsych,gravimetric soil water,0,0,0,1,Soil characteristics,,soil physiochemical characteristics,soil physiochemical characteristics
ClimReg,greenhouse gas value,0,1,0,0,Carbon,maybe expand the carbon bin to include all greenhouse gases,carbon,characteristics of human population
ClimReg,Greenhouse Gas Value (GHGV),0,1,0,0,Carbon,,carbon,characteristics of human population
HabCreate,gross primary production,0,0,0,1,Productivity,,productivity,productivity
freshWQReg,groundwater exchange,1,0,0,0,Hydrology,,hydrology,hydrology
freshWQReg,groundwater quantity,0,0,0,1,Hydology,,hydrology,hydrology
HabCreate,Growth form),0,0,0,1,,no idea,,TEST_VALUE
Hazards,Growth form),0,0,0,1,,no idea,,TEST_VALUE
coastWQReg,Growth of dry soft tissue,1,0,0,0,Productivity,maybe,productivity,productivity
Food,Growth of dry soft tissue,1,0,0,0,Productivity,maybe,productivity,productivity
coastWQReg,Growth of shell length,1,0,0,0,Productivity,"maybe, could be ESP",productivity,productivity
Food,Growth of shell length,1,0,0,0,Productivity,"maybe, could be ESP",productivity,productivity
ClimReg,growth rates,1,0,0,0,,too vague,,TEST_VALUE
HabCreate,habitat,0,1,0,0,Habitat,,habitat,habitat
MaintainOpts,habitat assessment score,0,0,0,1,Habitat,,habitat,index
HabCreate,Habitat capability index,0,0,0,1,Habitat,,habitat,index
HabCreate,habitat connectivity,2,1,0,0,Habitat,,habitat,habitat
HabCreate,habitat cover,0,0,0,1,Habitat,,habitat,habitat
HabCreate,habitat maintenance,0,1,0,0,Habitat,,habitat,habitat
HabCreate,habitat patch size,0,0,0,1,Habitat,,habitat,habitat
HabCreate,Habitat Provision,0,1,0,0,Habitat,,habitat,habitat
HabCreate,habitat quality,2,2,0,1,Habitat,,habitat,habitat
HabCreate,Habitat quality,0,0,1,0,Habitat,,habitat,habitat
HabCreate,Habitat sensitivity,1,0,0,0,Habitat,,habitat,habitat
CulturePsych,habitat suitability,0,0,0,1,Habitat,,habitat,habitat
Materials,harvestable timber,0,1,0,0,Exploitation/harvest,,exploitation/harvest,exploitation/harvest
CulturePsych,health deprivation,0,1,0,0,Human health,,human health,human health
CulturePsych,health effects (physical - mental),0,1,0,0,Human health,,human health,human health
HabCreate,herbivore fish biomass,0,1,0,0,Productivity ,could also be Pathogens/natural enemies,productivity,productivity
CulturePsych,horseback riding,0,1,0,0,Recreation/tourism,,recreation/tourism,recreation/tourism
CulturePsych,human and agricultural water consumption(access),0,0,0,1,"Characteristics of human population, land cover",,"characteristics of human population, land cover","characteristics of human population, land cover"
CulturePsych,human attitudes and preferences (i.e. ecosystem services-based traits):water use,0,1,0,0,Characteristics of human population,,characteristics of human population,characteristics of human population
CulturePsych,human disease prevalence(6+types),0,0,0,1,Human health,,human health,human health
Pollination,Hummingbird movement,0,0,0,1,Pollination,,pollination,pollination
Energy,hydro-energy potential,0,1,0,0,Exploitation/harvest,,exploitation/harvest,exploitation/harvest
freshWQReg,Hydrologic function score (rangeland health assessment),0,0,0,1,Hydrology,,hydrology,index
freshWQReg,Hydrologic regime,1,0,0,0,Hydrology,,hydrology,hydrology
freshWQReg,hydrological regulation (rainfall storage),0,0,0,1,,,,TEST_VALUE
Energy,hydropower,0,0,0,1,Exploitation/harvest,,exploitation/harvest,exploitation/harvest
SoilProtect,impact intensity (tons of soil),0,1,0,0,Soil characteristics,or abiotic characteristics of the landscape:terrestrial,soil physiochemical characteristics,soil physiochemical characteristics
MaintainOpts,index of rarity,1,0,0,0,Service provider abundance,maybe,service provider abundance,index
Energy,Indicators (12 different indices),1,1,0,0,Exploitation/harvest,,exploitation/harvest,exploitation/harvest
MaintainOpts,Indicators (12 different indices),0,1,0,0,,too vague,exploitation/harvest,exploitation/harvest
freshWQReg,infiltration,0,1,0,0,Hydrology,,hydrology,hydrology
CulturePsych,information and knowledge,0,1,0,0,Human knowledge,,human knowledge,human knowledge
Food,inland fisheries yields,0,1,0,0,Exploitation/harvest,,exploitation/harvest,exploitation/harvest
SoilProtect,inorganic N supply,0,1,0,0,Soil characteristics,,soil physiochemical characteristics,soil physiochemical characteristics
HabCreate,insect pollinated plants,0,1,0,0,"Pollination, vegetation cover",,"pollination, vegetation cover","pollination, vegetation cover"
PestPath,invasion resistance,1,0,0,0,Pathogens/natural enemies,,pathogens/natural enemies,pathogens/natural enemies
PestPath,Invasive species cover,0,0,1,0,Invasive species,,invasive species,invasive species
Pollination,Invertebrate abundance (natural enemies),0,0,0,1,Pathogens/natural enemies,,pathogens/natural enemies,service provider abundance
MaintainOpts,invertebrate abundances,1,0,0,0,Service provider abundance,,service provider abundance,service provider abundance
PestPath,Invertebrate biodiversity,0,0,0,1,Service provider diversity/richness/composition,,service provider species biodiversity,service provider species biodiversity
coastWQReg,invertebrate community,0,0,0,1,Service provider diversity/richness/composition,,service provider species biodiversity,service provider species biodiversity
MaintainOpts,Invertebrate traits,1,0,0,0,Service provider function/functional traits,,service provider functional biodiversity and traits,service provider functional biodiversity and traits
Pollination,isotope ratios,0,0,0,1,Pollination,,pollination,pollination
SoilProtect,K,0,0,0,1,,potassium? too vague,,TEST_VALUE
CulturePsych,lake visitation,0,1,0,0,Recreation/toursim,,recreation/tourism,recreation/tourism
CulturePsych,landscape aesthetics,0,1,0,0,Characteristics of human population,,characteristics of human population,characteristics of human population
HabCreate,landscape heterogeneity,0,0,0,1,Habitat,,habitat,habitat
PestPath,larval dissappearance rates of pests,0,0,0,1,Pathogens/natural enemies,,pathogens/natural enemies,pathogens/natural enemies
PestPath,larval removal,0,1,0,0,Pathogens/natural enemies,,pathogens/natural enemies,pathogens/natural enemies
CulturePsych,lawn furniture,0,0,0,1,Characteristics of human population,,characteristics of human population,characteristics of human population
SoilProtect,leaf consumption,0,0,0,1,Pathogens/natural enemies,,pathogens/natural enemies,pathogens/natural enemies
coastWQReg,leaf litter decomposition,1,0,0,0,Plant soil feedbacks,,plant soil feedbacks,plant soil feedbacks
SoilProtect,Leaf litter decomposition,0,1,0,0,Plant soil feedbacks,,plant soil feedbacks,plant soil feedbacks
Food,legume abundance,0,0,0,1,Exploitation/harvest,,exploitation/harvest,service provider abundance
CulturePsych,leisure hunting,0,1,0,0,"Exploitation/harvest, Recreation/tourism",,"exploitation/harvest, recreation/tourism","exploitation/harvest, recreation/tourism"
CulturePsych,life satisfaction,0,0,0,1,Characteristics of human population,,characteristics of human population,characteristics of human population
Pollination,likelihood of seed dispersal in given locations,0,1,0,0,Pollination,,pollination,pollination
SoilProtect,litter biomass,1,0,0,0,Plant soil feedbacks,,plant soil feedbacks,productivity
coastWQReg,litter consumption rates,1,0,0,0,Plant soil feedbacks,,plant soil feedbacks,plant soil feedbacks
SoilProtect,litter decomposition,1,0,0,0,Plant soil feedbacks,,plant soil feedbacks,plant soil feedbacks
Food,livestock and agriculture,0,1,0,0,Exploitation/harvest,,exploitation/harvest,exploitation/harvest
Food,livestock owned,0,0,1,0,Exploitation/harvest,,exploitation/harvest,exploitation/harvest
Food,livestock production,0,0,0,1,Exploitation/harvest,,exploitation/harvest,exploitation/harvest
ClimReg,Loss of Co2 from forest fires,0,0,0,1,"Extreme events, Carbon",,"extreme events, carbon",carbon
CulturePsych,Love of nature,0,1,0,0,Characteristics of human population,,characteristics of human population,characteristics of human population
HabCreate,macro invertebrate rayon richness and diversity,0,0,0,1,Service provider diversity/richness/composition,,service provider species biodiversity,service provider species biodiversity
coastWQReg,macroinvertebrate abundance and composition,0,0,0,1,"Service provider abunance, Service provider diversity/richness/composition",,"service provider abunance, service provider species biodiversity",service provider species biodiversity
HabCreate,Manning's roughness Coefficient,1,0,0,0,,no idea,,TEST_VALUE
SoilProtect,many soil chemistry variables,1,0,0,0,Soil characteristics,,soil physiochemical characteristics,soil physiochemical characteristics
Food,Maple syrup,0,1,0,0,Exploitation/harvest,,exploitation/harvest,exploitation/harvest
Food,marine trophic index,0,1,0,0,Exploitation/harvest,,exploitation/harvest,index
HabCreate,maximum anchor ice,1,0,0,0,Abiotic characteristics of the landscape,maybe...ice,abiotic characteristics of the landscape,abiotic characteristics of the landscape
Hazards,maximum continuous period of tidal submergence,0,0,1,0,"Extreme events, Hydrology",,"extreme events, hydrology","extreme events, hydrology"
Food,meat production,0,1,0,0,Exploitation/harvest,,exploitation/harvest,exploitation/harvest
MedGen,medicinal plant richness,0,1,0,0,Service provider diversity/richness/composition,,service provider species biodiversity,service provider species biodiversity
MedGen,medicinal plants,0,2,0,0,Service provider abundance,maybe,service provider abundance,service provider abundance
Food,mercury residues in fish,0,0,1,0,Pollution/water quality/air quality,,pollution/water quality/air quality,pollution/water quality/air quality
SoilProtect,Mg,0,0,0,1,Soil characteristics,Magnesium ?,soil physiochemical characteristics,soil physiochemical characteristics
ClimReg,Mg C per ha,0,0,1,0,Carbon,,carbon,carbon
SoilProtect,Microbial basal respiration,1,0,0,0,Soil characteristics,,soil physiochemical characteristics,soil physiochemical characteristics
ClimReg,microbial biomass,1,0,0,0,Productivity,?,productivity,productivity
SoilProtect,Microbial biomass,1,0,0,0,Productivity,?,productivity,productivity
CulturePsych,moose hunting,0,1,0,0,Exploitation/harvest,,exploitation/harvest,exploitation/harvest
Food,Moose hunting,0,1,0,0,Exploitation/harvest,,exploitation/harvest,exploitation/harvest
HabCreate,multifunctional hotspots,0,1,0,0,Habitat,no idea,habitat,habitat
SoilProtect,N,1,0,0,1,Soil characteristics,Nitrogen ?,soil physiochemical characteristics,soil physiochemical characteristics
coastWQReg,N and P excretion rates,0,0,1,0,Aquatic biogeochemistry,,aquatic biogeochemistry,aquatic biogeochemistry
ClimReg,N avaliability,0,1,0,1,Soil characteristics,vague,soil physiochemical characteristics,soil physiochemical characteristics
AQReg,N deposition,0,0,0,1,Soil characteristics,vague,soil physiochemical characteristics,soil physiochemical characteristics
SoilProtect,N mineralisation rate,0,0,0,1,Soil characteristics,vague,soil physiochemical characteristics,soil physiochemical characteristics
SoilProtect,N mineralization rate,1,0,0,0,Soil characteristics,vague,soil physiochemical characteristics,soil physiochemical characteristics
freshWQReg,N retention,0,1,0,0,Soil characteristics,vague,soil physiochemical characteristics,soil physiochemical characteristics
SoilProtect,N retention,0,1,0,0,Soil characteristics,vague,soil physiochemical characteristics,soil physiochemical characteristics
AQReg,N storage,0,1,0,0,Soil characteristics,vague,soil physiochemical characteristics,soil physiochemical characteristics
SoilProtect,N storage,1,0,0,0,Soil characteristics,vague,soil physiochemical characteristics,soil physiochemical characteristics
AQReg,N2,0,1,0,0,Pollution/water quality/air quality,,pollution/water quality/air quality,pollution/water quality/air quality
SoilProtect,Na),0,0,0,1,Soil characteristics,maybe this should be sodium,soil physiochemical characteristics,soil physiochemical characteristics
CulturePsych,natural materials,0,1,0,0,Exploitation/harvest,maybe,exploitation/harvest,exploitation/harvest
CulturePsych,Nature appreciation,0,1,0,0,Characteristics of human population,,characteristics of human population,characteristics of human population
HabCreate,NDVI,0,0,1,0,"Productivity, Habitat",,"productivity, habitat",productivity
Pollination,Nectar feeder biodiversity and abundance,0,0,0,1,Pollination,,pollination,service provider species biodiversity
HabCreate,nekton abundance,1,0,0,0,Service provider abundance,,service provider abundance,service provider abundance
ClimReg,Net C balance,0,1,0,0,Carbon,,carbon,carbon
SoilProtect,net nitrogen mineralization absorbed to ionic resins,0,1,0,0,Soil characteristics,,soil physiochemical characteristics,soil physiochemical characteristics
ClimReg,net oxygen production,0,0,1,0,ClimReg nutrients,,climreg nutrients,climreg nutrients
ClimReg,Net primary production,0,0,1,0,Productivity,,productivity,productivity
ClimReg,net primary productivity,0,0,0,1,Productivity,,productivity,productivity
coastWQReg,nitrate  spiraling rates,0,0,1,0,,,,TEST_VALUE
coastWQReg,nitrate conc.,0,0,0,1,Aquatic biogeochemistry,,aquatic biogeochemistry,aquatic biogeochemistry
coastWQReg,nitrate spiraling rates,0,0,0,1,Aquatic biogeochemistry,,aquatic biogeochemistry,aquatic biogeochemistry
coastWQReg,nitrate spiraling rates,0,0,0,1,Aquatic biogeochemistry,,aquatic biogeochemistry,aquatic biogeochemistry
SoilProtect,Nitrate supply rate,0,0,1,0,Soil characteristics,,soil physiochemical characteristics,soil physiochemical characteristics
coastWQReg,nitrate/nitrite/phosphorous/BOD5/O2 concentrations in water,0,1,0,0,Aquatic biogeochemistry,,aquatic biogeochemistry,aquatic biogeochemistry
coastWQReg,nitrite conc.,0,0,0,1,Aquatic biogeochemistry,,aquatic biogeochemistry,aquatic biogeochemistry
ClimReg,nitrogen,0,1,0,0,ClimReg nutrients,,climreg nutrients,climreg nutrients
coastWQReg,Nitrogen,0,0,0,1,Aquatic biogeochemistry,,aquatic biogeochemistry,aquatic biogeochemistry
coastWQReg,nitrogen and phosphorus retention,0,0,0,1,Aquatic biogeochemistry,,aquatic biogeochemistry,aquatic biogeochemistry
coastWQReg,nitrogen concentration,0,0,0,1,Aquatic biogeochemistry,,aquatic biogeochemistry,aquatic biogeochemistry
SoilProtect,nitrogen retention,0,1,0,0,Soil characteristics,,soil physiochemical characteristics,soil physiochemical characteristics
ClimReg,Nitrogen storage,0,1,0,0,ClimReg nutrients,,climreg nutrients,climreg nutrients
SoilProtect,nitrogen storage in SOM,0,1,0,0,Soil characteristics,,soil physiochemical characteristics,soil physiochemical characteristics
AQReg,nitrous oxide emission,0,0,0,1,Pollution/water quality/air quality,,pollution/water quality/air quality,pollution/water quality/air quality
AQReg,Nitrous oxide emissions,1,0,0,0,Pollution/water quality/air quality,,pollution/water quality/air quality,pollution/water quality/air quality
AQReg,nitrous oxide flux,0,1,0,0,Pollution/water quality/air quality,,pollution/water quality/air quality,pollution/water quality/air quality
AQReg,NO measurements,0,1,0,0,Pollution/water quality/air quality,,pollution/water quality/air quality,pollution/water quality/air quality
AQReg,NO2 concentration levels,0,0,0,1,Pollution/water quality/air quality,,pollution/water quality/air quality,pollution/water quality/air quality
AQReg,No2 dry deposition velocity,0,0,0,1,Pollution/water quality/air quality,,pollution/water quality/air quality,pollution/water quality/air quality
coastWQReg,NO3-N concentrations,1,0,0,0,Aquatic biogeochemistry,,aquatic biogeochemistry,aquatic biogeochemistry
CulturePsych,noise reduction,0,1,0,0,Human health,,human health,human health
ClimReg,NPP,0,2,0,0,Productivity,,productivity,productivity
Food,NPP,0,1,0,0,Exploitation/harvest,,exploitation/harvest,productivity
ClimReg,NPP),0,0,0,1,,,,productivity
PestPath,number of borers,0,0,1,0,Pathogens/natural enemies,,pathogens/natural enemies,pathogens/natural enemies
Food,Number of cattle per hectare,0,0,0,1,Exploitation/harvest,,exploitation/harvest,exploitation/harvest
MaintainOpts,number of invertabrates,0,0,0,1,Service provider abundance,,service provider abundance,service provider abundance
CulturePsych,number of national reserves,0,0,0,1,Exploitation/harvest,too vague,exploitation/harvest,exploitation/harvest
Hazards,number of people affected by floods,0,1,0,0,Extreme events,,extreme events,extreme events
Pollination,number of pollen grains deposited per flower,0,1,0,0,Pollination,,pollination,pollination
CulturePsych,number of pots,0,1,0,0,,no idea,,TEST_VALUE
Food,number of pots,0,1,0,0,,no idea,,TEST_VALUE
HabCreate,number of pots,0,1,0,0,,no idea,,TEST_VALUE
MedGen,number of pots,0,1,0,0,,no idea,,TEST_VALUE
Pollination,number of pots,0,1,0,0,,no idea,,TEST_VALUE
Materials,Number of roots,0,1,0,0,,,,exploitation/harvest
MaintainOpts,number of species 'in danger',0,0,0,1,,,,TEST_VALUE
Pollination,number of visitors),0,1,0,0,,,,TEST_VALUE
Hazards,number over tides,0,0,1,0,,,,TEST_VALUE
SoilProtect,nutrient provisioning,0,1,0,0,,,,TEST_VALUE
SoilProtect,nutrient removal,0,1,0,0,,,,TEST_VALUE
SoilProtect,Nutrient transformation and cycling,0,1,0,0,,,,TEST_VALUE
HabCreate,nutrient uptake,0,0,0,1,,,,TEST_VALUE
ClimReg,nutrient use efficiency,0,1,0,1,,,,TEST_VALUE
coastWQReg,nutrients,1,0,0,0,,,,TEST_VALUE
coastWQReg,O2 conc.,0,0,0,1,,,,TEST_VALUE
Food,okra yield,0,0,0,1,,,,exploitation/harvest
Food,open space,0,1,0,0,,,,TEST_VALUE
CulturePsych,opnion,0,0,1,0,,,,TEST_VALUE
CulturePsych,orchard,0,0,1,0,,,,TEST_VALUE
Food,orchard,0,0,1,0,,,,TEST_VALUE
SoilProtect,orchard,0,0,1,0,,,,TEST_VALUE
Food,orchard and forage production,0,1,0,0,,,,TEST_VALUE
ClimReg,Organic Carbon,0,0,0,1,,,,carbon
coastWQReg,organic matter,0,0,0,1,,,,TEST_VALUE
SoilProtect,organic matter content,0,0,0,1,,,,TEST_VALUE
SoilProtect,Organic P,0,0,0,1,,,,TEST_VALUE
CulturePsych,Outdoor activities,0,1,0,0,,,,TEST_VALUE
CulturePsych,outdoor rec,0,1,0,0,,,,TEST_VALUE
CulturePsych,Outdoor recreation,0,1,0,0,,,,TEST_VALUE
coastWQReg,oxygen concentration,0,1,0,0,,,,TEST_VALUE
Food,oyster density,0,1,0,0,,,,TEST_VALUE
HabCreate,Oyster habitat,0,1,0,0,,,,TEST_VALUE
Food,Oyster size,0,1,0,0,,,,TEST_VALUE
SoilProtect,P,1,0,0,0,,,,TEST_VALUE
freshWQReg,P retention,0,1,0,0,,,,TEST_VALUE
SoilProtect,P retention,0,1,0,0,,,,TEST_VALUE
CulturePsych,paddle routes,0,1,0,0,,,,TEST_VALUE
Food,paddy rice field,0,0,1,0,,,,TEST_VALUE
Food,palatability,0,0,0,1,,,,TEST_VALUE
Food,palatable (to livestock) plant richness,0,1,0,0,,,,service provider species biodiversity
PestPath,parasitism rate,0,1,0,0,,,,TEST_VALUE
PestPath,parasitoid abundance,0,0,0,1,,,,service provider abundance
PestPath,parasitoids,0,0,0,1,,,,TEST_VALUE
Pollination,parasitoids,0,1,0,0,,,,TEST_VALUE
freshWQReg,Peak stream flows,0,0,0,1,,,,hydrology
SoilProtect,Pedogenesis and soil quality regulation,0,1,0,0,,,,TEST_VALUE
Hazards,people affected by floods,0,0,0,1,,,,TEST_VALUE
CulturePsych,people displacement,0,0,0,1,,,,TEST_VALUE
freshWQReg,peowater for individuals,0,0,0,1,,,,TEST_VALUE
SoilProtect,per capita siderophore production,0,0,0,1,,,,TEST_VALUE
ClimReg,Percent carbon in soil by weight,0,1,0,0,,,,carbon
ClimReg,percent cover canopy,1,1,0,0,,,,TEST_VALUE
ClimReg,percent cover herbs,1,1,0,0,,,,TEST_VALUE
ClimReg,percent cover shrubs,1,1,0,0,,,,TEST_VALUE
Pollination,Percent frequency of plants in feces,0,0,0,1,,,,TEST_VALUE
Pollination,percent germination of dispersed propagules,0,0,0,1,,,,TEST_VALUE
SoilProtect,percent nitrogen in soil by weight,0,1,0,0,,,,TEST_VALUE
ClimReg,percent tree cover,0,0,0,1,,,,TEST_VALUE
PestPath,persistence of insectivore bat species,0,0,0,1,,,,TEST_VALUE
Pollination,persistence of nectar of frugivorous bat species,0,0,0,1,,,,TEST_VALUE
Pollination,persistence of nectarivorous bat species,0,0,0,1,,,,TEST_VALUE
PestPath,Pest,0,1,0,0,,,,TEST_VALUE
PestPath,Pest abundance,0,1,0,0,,,,service provider abundance
PestPath,Pest Abundance,0,1,0,0,,,,service provider abundance
PestPath,Pest and disease control,0,1,0,0,,,,TEST_VALUE
PestPath,pest attack rate,0,0,1,0,,,,TEST_VALUE
PestPath,pest community composition,0,0,1,0,,,,service provider species biodiversity
ClimReg,Pest control,0,1,0,0,,,,TEST_VALUE
PestPath,pest diversity index,0,0,0,1,,,,index
Food,pest load,0,0,0,1,,,,TEST_VALUE
PestPath,pest management by spiders (only spider abundance and richness),0,0,0,1,,,,service provider species biodiversity
PestPath,Pest parasitism,0,1,0,0,,,,TEST_VALUE
PestPath,pest parasitism rate (i.e. biocontrol success),0,0,1,0,,,,TEST_VALUE
PestPath,Pest population,1,1,0,0,,,,TEST_VALUE
PestPath,Pest predation,0,1,0,0,,,,TEST_VALUE
PestPath,Pest regulation,0,1,0,0,,,,TEST_VALUE
SoilProtect,pH,1,0,0,0,,,,TEST_VALUE
ClimReg,phosphatase activity,1,0,0,0,,,,TEST_VALUE
coastWQReg,phosphate concentration,0,1,0,0,,,,TEST_VALUE
coastWQReg,Phosphorous,0,0,0,1,,,,TEST_VALUE
SoilProtect,phosphorous storage in SOM,0,1,0,0,,,,TEST_VALUE
coastWQReg,phosphorus conc.,0,0,0,1,,,,TEST_VALUE
coastWQReg,Phosphorus concentration,1,0,0,0,,,,TEST_VALUE
AQReg,photosynthesis (gas exchange,0,0,0,1,,,,TEST_VALUE
Hazards,physical water quantity regulation,0,1,0,0,,,,TEST_VALUE
Food,pigs,0,1,0,0,,,,TEST_VALUE
coastWQReg,Plankton and macroinvertebrate community structure,1,0,0,0,,,,TEST_VALUE
CulturePsych,Plant biodiversity,0,0,0,1,,,,service provider species biodiversity
Energy,plant biomass,1,0,0,0,,,,productivity
HabCreate,plant community composition,1,0,0,0,,,,service provider species biodiversity
MaintainOpts,Plant community composition,1,0,0,0,,,,service provider species biodiversity
SoilProtect,plant density,0,0,0,1,,,,TEST_VALUE
CulturePsych,plant diversity,0,0,0,1,,,,service provider species biodiversity
MaintainOpts,plant diversity,0,1,0,0,,,,service provider species biodiversity
HabCreate,Plant diversity,0,0,0,1,,,,service provider species biodiversity
MaintainOpts,Plant diversity maintenance,0,1,0,0,,,,service provider species biodiversity
ClimReg,plant productivity,1,0,0,0,,,,TEST_VALUE
HabCreate,plant productivity,0,1,0,0,,,,TEST_VALUE
Materials,Plant quality,1,0,0,0,,,,exploitation/harvest
HabCreate,Plant species composition,0,1,0,0,,,,service provider species biodiversity
