ES,yclass,yresponse,count
SoilProtect,EF,soil water holding capacity,1
freshWQReg,Proxy for ES,soil water infiltration,1
freshWQReg,Proxy for ES,soil water retention,1
SoilProtect,EF,soil water stable aggregates,1
SoilProtect,Proxy for ES,soil water stable aggregates,1
CulturePsych,ES,sounds and scents,1
Food,ES,soya bean yield,1
Pollination,Proxy for ES,species diversity,1
HabCreate,Proxy for ES,species diversity,1
Pollination,Proxy for ES,species evenness,1
MaintainOpts,EF,species richness,1
Pollination,Proxy for ES,species richness,1
SoilProtect,Proxy for ES,species richness,1
PestPath,Proxy for ES,spider and predatory beetle abundance,1
CulturePsych,ES,spiritual,1
Food,ES,stability of fisheries yields,1
PestPath,Proxy for ES,stable isotope analysis,1
ClimReg,ES,standing biomass,1
coastWQReg,ES,standing water quality,1
CulturePsych,Proxy for ES,stocked walleye length,1
freshWQReg,Proxy for ES,streamflow,1
freshWQReg,Proxy for ES,streamwater flow,1
HabCreate,ES,structural benthic habitat,1
CulturePsych,ES,summer cottages,1
SoilProtect,ES,surface erosion %,1
freshWQReg,ES,surface run-off,1
SoilProtect,ES,surface runoff,1
Energy,EF,suvivorship,1
Food,Proxy for ES,sward height,1
Pollination,Proxy for ES,terrestrial biodiversity,1
MaintainOpts,Proxy for ES,terrestrial biodiversity,1
Food,ES,terrestrial plants and animals,1
Food,Proxy for ES,tiller mass,1
Food,EF,tiller number,1
Food,ES,timber,1
Materials,ES,timber production,1
Materials,ES,timber value,1
Materials,ES,timber volume,1
ClimReg,ES,total aboveground carbon,1
ClimReg,EF,total biomass,1
ClimReg,ES,total biomass,1
coastWQReg,EF,total carbon content,1
ClimReg,EF,total carbon pool,1
ClimReg,ES,total carbon pool,1
ClimReg,ES,total carbon stock,1
ClimReg,ES,total carbon stocks,1
ClimReg,Proxy for ES,total carbon stocks,1
ClimReg,ES,total carbon storage,1
Energy,ES,total energy production,1
Food,Proxy for ES,total fish biomass,1
Energy,ES,total hydropower production,1
SoilProtect,Proxy for ES,total n,1
coastWQReg,ES,total n removal potential,1
coastWQReg,Proxy for ES,total nitrogen,1
coastWQReg,EF,total nitrogen content,1
SoilProtect,Proxy for ES,total p,1
coastWQReg,ES,total p removal potential,1
AQReg,ES,total pollutants removal,1
ClimReg,ES,total soil c,1
ClimReg,EF,total soil nitrogen,1
coastWQReg,Proxy for ES,total tree leaf area,1
HabCreate,EF,total variation in functional matrix,1
CulturePsych,ES,tourism,1
CulturePsych,ES,tourist visits,1
ClimReg,ES,tree above ground carbon,1
ClimReg,ES,tree biomass,1
ClimReg,Proxy for ES,tree biomass,1
HabCreate,Proxy for ES,tree composition,1
ClimReg,Proxy for ES,tree dbh,1
ClimReg,EF,tree density,1
ClimReg,ES,tree density,1
coastWQReg,Proxy for ES,tree growth and survival,1
ClimReg,Proxy for ES,tree growth and survival,1
AQReg,Proxy for ES,tree growth and survival,1
ClimReg,EF,tree height,1
ClimReg,ES,tree height,1
freshWQReg,Proxy for ES,tree leaf area,1
ClimReg,Proxy for ES,tree leaf biomass,1
MaintainOpts,EF,tree species richness,1
coastWQReg,Proxy for ES,turbidity and dissolved oxygen,1
freshWQReg,NA,upstream,1
CulturePsych,NA,upstream downstream,1
CulturePsych,ES,urban green space,1
ClimReg,EF,urease activity,1
PestPath,Proxy for ES,vector mosquito sex ratio,1
PestPath,Proxy for ES,vector mosquitoe abundance,1
ClimReg,Proxy for ES,vegetation cover,1
Energy,Proxy for ES,vegetation cover,1
Materials,ES,vegetative production,1
MaintainOpts,ES,vertebrate diversity,1
HabCreate,Proxy for ES,vertical diversity,1
CulturePsych,ES,viewscapes,1
Pollination,Proxy for ES,visitation rate,1
CulturePsych,Proxy for ES,visits to national reserves/parks,1
coastWQReg,ES,volumes of wastewater generated and treated,1
CulturePsych,Proxy for ES,volunteer input and community events,1
CulturePsych,NA,volunteer input(education),1
SoilProtect,EF,waste treatment,1
SoilProtect,ES,waste treatment,1
Food,ES,water,1
freshWQReg,ES,water conservation,1
freshWQReg,ES,water flow,1
freshWQReg,ES,water flow regulation,2
freshWQReg,ES,water for agricultural use,1
freshWQReg,ES,water for human consumption,1
freshWQReg,ES,water for industrial and energy use,1
Hazards,Proxy for ES,water infiltration rate,1
coastWQReg,ES,water purification and provision,1
coastWQReg,ES,water quality,1
freshWQReg,ES,water quality,1
coastWQReg,Proxy for ES,water quality for various uses,1
coastWQReg,ES,water quality index,1
coastWQReg,ES,water quality regulation,1
freshWQReg,ES,water quality regulation,1
freshWQReg,ES,water quantity,1
freshWQReg,ES,water regulation,1
freshWQReg,ES,water retention,1
freshWQReg,EF,water supply,1
freshWQReg,ES,water supply,1
freshWQReg,ES,water supply for human consumption,1
freshWQReg,ES,water supply for industry,1
SoilProtect,EF,water yield,1
freshWQReg,ES,water yield,2
SoilProtect,ES,water yield,1
freshWQReg,Proxy for ES,water yield,1
coastWQReg,NA,water yield,1
freshWQReg,ES,wateryield production,1
SoilProtect,ES,weed seed predation,1
PestPath,ES,weed seed removal,1
PestPath,ES,weed suppression,1
PestPath,ES,west nile virus incidence in humans,1
Food,ES,wetland area,1
Food,Proxy for ES,wetland area,1
Food,ES,wheat,1
Food,ES,wild rice,1
CulturePsych,ES,wild rice harvest,1
HabCreate,NA,wildflower strips,1
Hazards,ES,windbreak function,1
Food,ES,winter wheat yield,1
Materials,ES,wood production,1
Materials,ES,wood raw materials,1
Energy,ES,woody biomass,1
Energy,EF,yield,1
Food,ES,yield,1
Energy,ES,yield,1
